Cabin and fuselage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.,Input data from previous design phases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Reference number of passengers,npax,70,[-],,,,Design Range,R,2500000,[m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cargo mass,mcargo,2004.00,[kg],,,,Maximum take-off mass,mMTO,29765.2,[kg],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.,Configuration of classes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Number of classes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,old value:,,,,,,,,,,,
,Design range,R,1350,[Nm],,,,Schmitt : number of classes suggestion,nclasses,1,,,,,,,,,,,,,,,1 (YC),2 (FC - YC),2,,2,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,2 (FC - YC),,,,,,,,,,,,,,,
,Number of classes,nclasses,,,,,,Suggestion,,,,,,,,,,,,,,,,,3 (FC - BC - YC),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,%,1,2,3,,,,,,,,,,,
,"Number of seats, first class","npax, FC",6,[-],,<<<<<,,Schmitt : number of FC seats suggestion,"npax, FC",5,[-],,,,,,,,,,,,,,FC,8,0,8,5,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,BC,0,0,0,18,,,,,,,,,,,
,"Number of seats, business class","npax, BC",0,[-],,<<<<<,,Schmitt : number of BC seats suggestion,"npax, BC",0,[-],,,,,,,,,,,,,,YC,92,100,92,77,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Number of seats, economy class","npax, YC",64,[-],,<<<<<,,Schmitt : number of YC seats suggestion,"npax, YC",64,[-],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Seat rows,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Recommandation : average seats abreast,nSA,4,[-],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Number of seats abreast, first class","nSA, FC",3,[-],,>>>>>,,"Number of seat rows, first class","nrows, FC",2,[-],,,,,,,,,,,,,,3,,,,,,,,,,,,,,,
,,,,,,,,"Resulting number of seats, first class",,6,[-],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Number of seats abreast, business class","nSA, BC",5,[-],,>>>>>,,"Number of seat rows, business class","nrows, BC",0,[-],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,"Resulting number of seats, business class",,0,[-],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Number of seats abreast, economy class","nSA, YC",4,[-],,>>>>>,,"Number of seat rows, economy class","nrows, YC",16,[-],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,"Resulting number of seats, economy class",,64,[-],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Check : number of seats,nseats,70,[-],,>>>>>,,Number of seats is correct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aisles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,old value :,,,,,,,,,,
,Number of aisles,naisles,,[-],,<<<<<,,CS 25.817: Number of aisles,naisles,1 or 2,[-],,,,,,,,,,,,,,4,1,1,1,,1,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,
,,,,,,,,Number of aisles is correct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.,Cross section,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Seat dimensions, economy class",,,,,,,,,,,,,,,,,,,,,,,,,[m],,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,[inch],,,,,,,,,,,,,,
,Cushion width,"wcushion,YC",0.50,[m],,>>>>>,,,"wcushion,YC",0.50,[m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cushion height position,?ycushion,0.42,[m],,>>>>>,,,?ycushion,0.42,[m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cushion thickness,tcushion,0.14,[m],,>>>>>,,,tcushion,0.14,[m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Armrest width,"warmrest,YC",0.06,[m],,>>>>>,,,"warmrest,YC",0.06,[m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Armrest height position, top","harmrest,top",0.60,[m],,>>>>>,,,"harmrest,top",0.60,[m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Armrest height position, bottom","harmrest,bottom",0.50,[m],,>>>>>,,,"harmrest,bottom",0.50,[m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Backrest height,hbackrest,0.80,[m],,>>>>>,,,hbackrest,0.80,[m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Seat length,"lseat,YC",0.43,[m],,>>>>>,,,"lseat,YC",0.43,[m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Seat dimensions, First class",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cushion width,"wcushion,FC",0.65,[m],,>>>>>,,,"wcushion,FC",0.65,[m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Armrest width,"warmrest,FC",0.07,[m],,>>>>>,,,"warmrest,FC",0.07,[m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Seat length,"lseat,FC",0.46,[m],,>>>>>,,,"lseat,FC",0.46,[m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Seat dimensions, Business class",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cushion width,"wcushion,BC",0.54,[m],,>>>>>,,,"wcushion,BC",0.54,[m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Armrest width,"warmrest,BC",0.05,[m],,>>>>>,,,"warmrest,BC",0.05,[m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Seat length,"lseat,BC",0.70,[m],,>>>>>,,,"lseat,BC",0.70,[m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Passenger dimensions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Midshoulder height, sitting",?ymidshoulder,0.60,[m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Shoulder breadth,wshoulder,0.48,[m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,95% American Male: Body Size of the 40-Year-Old American Male for Year 2000 in One Gravity Conditions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Eye height, sitting",?yeye,0.78,[m],,,,<<<,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Head to wall clearance,dhw,0.05,[m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Shoulder to wall clearance,dsw,0.05,[m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aisle dimensions (Economy Class),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aisle width,waisle,0.52,[m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Check : Chosen aisle width,waisle,0.52,[m],,>,,,waisle,0.51,[m],,,,,,,,,,,,,,Passengers,Minimum passenger aisle width (inches),,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,<=10,15,,,,,,,,,,,,,,
,,Aisle width is correct,,,,,,, Minimum aisle width CS 25.815,,,,,,,,,,,,,,,,>10,20,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,70,20,,,,,,,,,,,,,,
,Aisle height,haisle,1.90,[m],,>>>>>,,,haisle,1.90,[m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lower deck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Choose a container type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Double container,,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,"Lower deck width, bottom","wld,bottom",0.00,[m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,"Lower deck width, top","wld,top",0.00,[m],,,,,,,,,,,,,,,,,,,,,,chosen container,None,,Container,lower deck,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Lower deck height,hld,0.00,[m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,index,17,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,Container,Container,Base width,Overall width,Depth,Height,Is half-size,,base width,0,,0,0,,,
,Cross section dimensions (from Economy Class),,,,,,,,,,,,,,,,,,,,,,,,LD1,1,1.5621,2.3368,1.53416,1.6256,TRUE,,overall width,0,,0,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,LD11,2,3.175,3.175,1.53416,1.6256,FALSE,,depth,0,,,??,,,
,Automatic calculation,,,,,,,,,,,,,,,,,,,,,,,,LD2,3,1.1938,1.5621,1.53416,1.6256,TRUE,,height,0,,0,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,LD26,4,3.175,4.064,2.2352,1.6256,FALSE,,is half seized,FALSE,,,,,,
,Ratio : cabin height / cabin width,(h/w)cabin,1.00,[-],,<<<<<,,"0,7                                            1,3",,,,,,,,,,,,,,,,,LD29,5,3.175,4.7244,2.2352,1.6256,FALSE,,is rectangular,TRUE,,,,YES,,FALSE
,,,,,,,,,,,,,,,,,,,,,,,,,LD3,6,1.5621,2.0066,1.53416,1.6256,TRUE,,,,,,,NO,,
,Floor lowering from horiz. fuselage symmetry,Dzfloor,0.79,[m],,,,,,,,,,,,,,,,,,,,,LD3-45,7,1.5621,2.0066,1.53416,1.143,TRUE,,has container,FALSE,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,LD3-45(Rectangular),8,1.5621,1.5621,1.53416,1.143,FALSE,,,,,,,,,
,Fuselage inner height,"hf,i",2.99,[m],,,,,,,,,,,,,,,,,,,,,LD3-45W,9,1.43002,2.43078,1.41986,1.08966,FALSE,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,LD39,10,3.175,4.7244,2.4384,1.6256,FALSE,,,,,,,,,
,Fuselage inner width,"wf,i",2.99,[m],,,,,,,,,,,,,,,,,,,,,LD4,11,2.4384,2.4384,1.53416,1.6256,FALSE,,,,,,,,,
,,,,,,, ,,,,,,,,,,,,,,,,,,LD6,12,3.175,4.064,1.53416,1.6256,FALSE,,,,,,,,,
,Fuselage inner equivalent diameter,"df,i",2.99,[m],,,,,,,,,,,,,,,,,,,,,LD7,13,3.175,4.064,2.2352,1.6256,FALSE,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,LD7(Rectangular),14,3.175,3.175,2.2352,1.6256,FALSE,,,,,,,,,
,Fuselage thickness [Marckwardt],tfuselage,0.109,[m],,,,,,,,,,,,,,,,,,,,,LD8,15,2.4384,3.175,1.53416,1.6256,FALSE,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,LD9,16,3.175,3.175,2.2352,1.6256,FALSE,,,,,,,,,
