Component,Weight_kg,Weight_N,x_cg_m,Moment_kg_m,Moment_N_m
all-else,5714.397,56058.23457,14.415,82373.032755,808079.45132655
engine,3065.4,30071.574000000004,11.913892082800746,36520.84479061741,358269.4873959568
fuse,5979.491613703695,58658.81273043325,14.415,86194.37161153877,845566.7855091953
htail,483.36057000000005,4741.767191700001,26.84592809434575,12976.263105861977,127297.14106850601
mainLG,1228.595355,12052.52043255,14.415,17710.202042325,173737.08203520824
noseLG,216.81094499999998,2126.91537045,4.3245,937.5989316524998,9197.845519511024
vtail,166.034355795,1628.79703034895,26.55699036433301,4409.372786996054,43255.94704043129
wing,4075.6283709194777,39981.914318720075,15.091222106898233,61506.21297072165,603375.9492427794
baggage_report,1050.0,10300.5,17.974,18872.7,185141.187
fuel_full_report,9633.128778,94500.99331218001,15.091222106898233,145375.68597315115,1.426135479396613e6
pax_aft_report,2250.0,22072.5,19.836000000000002,44631.00000000001,437830.11000000004
pax_forward_report,1800.0,17658.0,8.664000000000001,15595.200000000003,152988.91200000004
pax_middle_report,2250.0,22072.5,14.25,32062.5,314533.125
