AERODYNAMIC AND STABILITY DERIVATIVES SUMMARY
============================================================

13×3 DataFrame
 Row │ Quantity                           Value       Notes
     │ String                             String      String
─────┼──────────────────────────────────────────────────────────────────────────────────
   1 │ Aircraft Cm_alpha (VLM)            -31.286182  Pitching moment derivative with …
   2 │ Aircraft CZ_alpha (VLM)            7.166964    Aircraft vertical-force/lift-rel…
   3 │ Wing CZ_alpha (VLM)                6.455332    Wing lift-related derivative fro…
   4 │ Horizontal tail CZ_alpha (VLM)     0.711632    Horizontal-tail lift-related der…
   5 │ Wing CL_alpha (DATCOM)             5.688712    DATCOM wing lift-curve slope
   6 │ Horizontal tail CL_alpha (DATCOM)  2.468331    DATCOM horizontal-tail lift-curv…
   7 │ dCm/dCL from VLM alpha sweep       -4.388007   Linear fit of Cm against CL usin…
   8 │ Fuselage dCmf/dCL used with DATC…  0.218337    Fuselage moment-lift derivative …
   9 │ Fuselage dCmf/dCL used with VLM    0.192408    Fuselage moment-lift derivative …
  10 │ DATCOM neutral point x_np          14.916708   Neutral point from DATCOM-style …
  11 │ VLM neutral point x_np             14.815948   Neutral point from VLM Cm-CL slo…
  12 │ Empty/component DATCOM static ma…  16.49589    Static margin using empty/compon…
  13 │ Empty/component VLM static margin  13.642555   Static margin using empty/compon…
