Quantity,Value,Notes
Aircraft Cm_alpha (VLM),-28.81429,Pitching moment derivative with respect to angle of attack
Aircraft CZ_alpha (VLM),6.64488,Aircraft vertical-force/lift-related derivative from VLM
Wing CZ_alpha (VLM),6.021566,Wing lift-related derivative from VLM
Horizontal tail CZ_alpha (VLM),0.623314,Horizontal-tail lift-related derivative from VLM
Wing CL_alpha (DATCOM),5.402734,DATCOM wing lift-curve slope
Horizontal tail CL_alpha (DATCOM),2.442857,DATCOM horizontal-tail lift-curve slope with downwash correction
dCm/dCL from VLM alpha sweep,-4.371139,Linear fit of Cm against CL using low-angle range
Fuselage dCmf/dCL used with DATCOM,0.229894,Fuselage moment-lift derivative using DATCOM wing slope
Fuselage dCmf/dCL used with VLM,0.206268,Fuselage moment-lift derivative using VLM wing slope
DATCOM neutral point x_np,14.81891,"Neutral point from DATCOM-style estimate, m from nose"
VLM neutral point x_np,14.707437,"Neutral point from VLM Cm-CL slope, m from nose"
Empty/component DATCOM static margin,14.396112,"Static margin using empty/component CG, %MAC"
Empty/component VLM static margin,11.239412,"Static margin using empty/component CG, %MAC"
