Method,Step_No,Step,Weight_kg,x_cg_m,CG_percent_MAC,SM_DATCOM_percent,SM_VLM_percent
Balanced-zone boarding,0,Start: OEW + crew + fuel,26264.099999999995,14.4379655738199,21.443919638184312,10.787625752003606,7.630925384232467
Balanced-zone boarding,1,Add baggage,27314.1,14.57389669172198,25.293234166242396,6.938311223945522,3.7816108561743818
Balanced-zone boarding,2,Board zone 3,28394.1,14.502557630893858,23.27304565089796,8.958499739289959,5.801799371518819
Balanced-zone boarding,3,Board zone 4,29474.1,14.550160026170888,24.62105627965062,7.610489110537297,4.453788742766156
Balanced-zone boarding,4,Board zone 2,30554.1,14.375009299156687,19.661115917934676,12.57042947225324,9.4137291044821
Balanced-zone boarding,5,Board zone 5,31544.1,14.517181394535374,23.687163232721478,8.54438215746644,5.387681789695301
Balanced-zone boarding,6,Board zone 1,32624.1,14.251501853763422,16.163616513728268,16.06792887645965,12.91122850868851
Balanced-zone boarding,7,Board zone 6,33614.1,14.47995548378101,22.632995200423014,9.598550189764902,6.441849821993761
Balanced-zone boarding,8,Unload zone 6,32624.1,14.251501853763422,16.163616513728268,16.06792887645965,12.91122850868851
Balanced-zone boarding,9,Unload zone 1,31544.1,14.517181394535374,23.687163232721478,8.54438215746644,5.387681789695301
Balanced-zone boarding,10,Unload zone 5,30554.1,14.375009299156687,19.661115917934676,12.57042947225324,9.4137291044821
Balanced-zone boarding,11,Unload zone 2,29474.1,14.550160026170888,24.62105627965062,7.610489110537297,4.453788742766156
Balanced-zone boarding,12,Unload zone 4,28394.1,14.502557630893858,23.27304565089796,8.958499739289959,5.801799371518819
Balanced-zone boarding,13,Unload zone 3,27314.1,14.57389669172198,25.293234166242396,6.938311223945522,3.7816108561743818
Balanced-zone boarding,14,Unload baggage,26264.1,14.437965573819902,21.443919638184358,10.787625752003557,7.630925384232417
