Phase,Mission_progress,Beta,Fuel_remaining_fraction,Fuel_mass_kg,Weight_kg,x_cg_m,CG_percent_MAC,SM_DATCOM_percent,SM_VLM_percent
Outbound - Start of leg,0.0,1.0,1.0,9633.128778000002,33614.1,14.513191536508886,23.57417793028828,8.657367459899637,5.500667092128497
Outbound - After warm-up,0.03429131936058361,0.9907624260757855,0.9677661598010514,9322.616044354058,33303.58726635406,14.507802151542423,23.421560647587427,8.80998474260049,5.65328437482935
Outbound - After taxi,0.06823972552756143,0.9816172278908127,0.9358546580040923,9015.208438044572,32996.17966004457,14.502366742540628,23.267640050453686,8.963905339734232,5.807204971963092
Outbound - After takeoff,0.08504418658021533,0.9770903547892512,0.9200584646145975,8863.041672921376,32844.01289492137,14.499638567508958,23.190383246076788,9.041162144111128,5.884461776339989
Outbound - After climb,0.15192594156977826,0.959073399845037,0.8571896149244085,8257.417947731059,32238.389169731057,14.48852520123622,22.87567353935534,9.355871850832576,6.199171483061436
Outbound - After cruise,0.3758223300136467,0.8987590264648077,0.646727009787172,6230.004569490696,30210.97579149069,14.448079113761374,21.73031613684956,10.501229253338357,7.344528885567217
Outbound - After loiter,0.4465518481093275,0.8797055410866991,0.580241262777232,5589.538806642415,29570.51002864241,14.434149321298513,21.335850518323934,10.895694871863983,7.738994504092843
Outbound - After descent,0.47637843768916305,0.8716706992874172,0.5522042685721866,5319.454830917173,29300.42605291717,14.42809258922386,21.16433521610807,11.067210174079845,7.910509806308705
Outbound - After landing,0.5,0.8653074,0.53,5105.558252340002,29086.529474339997,14.42321606605154,21.026241218329368,11.20530417185855,8.04860380408741
Return - After warm-up,0.5342913193605836,0.8560698260757853,0.4977661598010514,4795.045518694056,28776.016740694053,14.416007827895978,20.822117421790796,11.409427968397123,8.252727600625983
Return - After taxi,0.5682397255275614,0.8469246278908127,0.46585465800409226,4487.63791238457,28468.609134384566,14.408716779560097,20.615648596129407,11.61589679405851,8.45919642628737
Return - After takeoff,0.5850441865802153,0.8423977547892513,0.4500584646145976,4335.471147261375,28316.44236926137,14.405049135634844,20.511787793223416,11.719757596964506,8.563057229193365
Return - After climb,0.6519259415697782,0.824380799845037,0.38718961492440845,3729.847422071058,27710.818644071056,14.390052731655622,20.087117735353146,12.144427654834768,8.987727287063628
Return - After cruise,0.8758223300136467,0.7640664264648077,0.17672700978717207,1702.4340438306954,25683.405265830694,14.334703366683733,18.519727442436118,13.711817947751795,10.555117579980656
Return - After loiter,0.9465518481093276,0.7450129410866991,0.11024126277723208,1061.9682809824149,25042.93950298241,14.315355623899677,17.97183562389426,14.259709766293655,11.103009398522516
Return - After descent,0.9763784376891631,0.7369780992874172,0.08220426857218668,791.8843052571727,24772.85552725717,14.306896804764772,17.732297717572763,14.499247672615153,11.342547304844015
Return - After landing,1.0,0.7306147999999999,0.06,577.9877266800002,24558.958948679996,14.300065713146903,17.53885400422009,14.692691385967828,11.535991018196688
