Label,Step_No,Step,Weight_kg,CG_percent_MAC,SM_DATCOM_percent,SM_VLM_percent
A,0,Start: OEW + crew + fuel,26264.099999999995,21.443919638184312,10.787625752003606,7.630925384232467
B,1,Add baggage,27314.1,25.293234166242396,6.938311223945522,3.7816108561743818
C,2,Board zone 3,28394.1,23.27304565089796,8.958499739289959,5.801799371518819
D,3,Board zone 4,29474.1,24.62105627965062,7.610489110537297,4.453788742766156
E,4,Board zone 2,30554.1,19.661115917934676,12.57042947225324,9.4137291044821
F,5,Board zone 5,31544.1,23.687163232721478,8.54438215746644,5.387681789695301
G,6,Board zone 1,32624.1,16.163616513728268,16.06792887645965,12.91122850868851
H,7,Board zone 6,33614.1,22.632995200423014,9.598550189764902,6.441849821993761
I,8,Unload zone 6,32624.1,16.163616513728268,16.06792887645965,12.91122850868851
J,9,Unload zone 1,31544.1,23.687163232721478,8.54438215746644,5.387681789695301
K,10,Unload zone 5,30554.1,19.661115917934676,12.57042947225324,9.4137291044821
L,11,Unload zone 2,29474.1,24.62105627965062,7.610489110537297,4.453788742766156
M,12,Unload zone 4,28394.1,23.27304565089796,8.958499739289959,5.801799371518819
N,13,Unload zone 3,27314.1,25.293234166242396,6.938311223945522,3.7816108561743818
O,14,Unload baggage,26264.1,21.443919638184358,10.787625752003557,7.630925384232417
