Source,Case,Weight_kg,x_cg_m,CG_percent_MAC,SM_DATCOM_percent,SM_VLM_percent
Approved loading sequence,Approved loading: Crew → Passengers → Baggage → Fuel - Start: OEW + crew,16630.971221999996,15.777696981877325,32.63002791396338,4.214887736021883,2.982108242861858
Approved loading sequence,Approved loading: Crew → Passengers → Baggage → Fuel - Board passengers,22930.971221999996,15.412928699502864,22.05301939256699,14.79189625741828,13.559116764258254
Approved loading sequence,Approved loading: Crew → Passengers → Baggage → Fuel - Load baggage/cargo,23980.971221999996,15.537849614414506,25.675290421506617,11.169625228478653,9.936845735318629
Approved loading sequence,Approved loading: Crew → Passengers → Baggage → Fuel - Fuel uplift / dispatch,33614.100000000006,15.678860270131242,29.76410784119801,7.0808078087872595,5.848028315627236
Mission fuel burn,Outbound - Start of leg,33614.100000000006,15.678860270131242,29.76410784119801,7.0808078087872595,5.848028315627236
Mission fuel burn,Outbound - After Warm-up,33277.959,15.675314454588648,29.66129155200426,7.183624097981007,5.950844604820983
Mission fuel burn,Outbound - After Taxi,32945.17941,15.671732822727447,29.557436714434992,7.287478935550276,6.054699442390251
Mission fuel burn,Outbound - After Takeoff,32780.45351295,15.669933007721816,29.505248353847342,7.339667296137928,6.106887802977903
Mission fuel burn,Outbound - After Climb,32124.844442691003,15.662586824025365,29.292234637163087,7.552681012822181,6.319901519662157
Mission fuel burn,Outbound - After Cruise,29930.097863819075,15.635652378957875,28.51122962997482,8.333686020010447,7.100906526850423
Mission fuel burn,Outbound - After Loiter,29236.7678935615,15.626303160700198,28.240134894061544,8.604780755923727,7.372001262763702
Mission fuel burn,Outbound - After Descent,28944.40021462589,15.62222646526436,28.12192493873507,8.722990711250198,7.490211218090174
Mission fuel burn,Outbound - After Landing,28712.845012908878,15.618938807654818,28.026594329600957,8.81832132038431,7.5855418272242865
Mission fuel burn,Return - Start of leg,28712.845012908878,15.618938807654818,28.026594329600957,8.81832132038431,7.5855418272242865
Mission fuel burn,Return - After Warm-up,28425.71656277979,15.614787724814484,27.906227398875984,8.938688251109285,7.705908757949261
Mission fuel burn,Return - After Taxi,28141.459397151997,15.610594711844444,27.784644640567766,9.060271009417507,7.827491516257481
Mission fuel burn,Return - After Takeoff,28000.752100166235,15.60848767015096,27.723547777096424,9.121367872888843,7.888588379728819
Mission fuel burn,Return - After Climb,27440.73705816291,15.599887499973471,27.474172824151964,9.370742825833307,8.137963332673284
Mission fuel burn,Return - After Cruise,25566.005372300086,15.568355371076594,26.55985101451155,10.285064635473722,9.052285142313698
Mission fuel burn,Return - After Loiter,24973.769495724173,15.557410250267628,26.242480668300075,10.60243498168519,9.369655488525167
Mission fuel burn,Return - After Descent,24724.031800766927,15.55263766684763,26.104092387461098,10.740823262524174,9.508043769364148
Mission fuel burn,Return - After Landing,24526.23954636079,15.548788809250851,25.992488935171398,10.85242671481387,9.619647221653846
Boarding potato plot,Forward boundary: front-to-aft - Start: OEW + crew,16630.971221999996,15.777696981877325,32.63002791396338,4.214887736021883,2.982108242861858
Boarding potato plot,Forward boundary: front-to-aft - Window seats: zone 1,17170.971221999996,15.485928024522435,24.169745325430746,12.67517032455452,11.442390831394494
Boarding potato plot,Forward boundary: front-to-aft - Window seats: zone 2,17710.971221999996,15.308907741786745,19.036774260163373,17.808141389821895,16.57536189666187
Boarding potato plot,Forward boundary: front-to-aft - Window seats: zone 3,18250.971221999996,15.236450765964507,16.93577456326626,19.90914108671901,18.676361593558983
Boarding potato plot,Forward boundary: front-to-aft - Window seats: zone 4,18790.971221999996,15.259542525366017,17.605355082641218,19.239560567344054,18.006781074184026
Boarding potato plot,Forward boundary: front-to-aft - Window seats: zone 5,19330.971221999993,15.370175716618636,20.813331935812258,16.031583714173014,14.798804221012988
Boarding potato plot,Forward boundary: front-to-aft - Window seats: zone 6,19780.971221999993,15.530098143683455,25.450524793744282,11.394390856240989,10.161611363080963
Boarding potato plot,Forward boundary: front-to-aft - Aisle seats: zone 1,20320.971221999996,15.290136532384583,18.492474628322665,18.352441021662603,17.11966152850258
Boarding potato plot,Forward boundary: front-to-aft - Aisle seats: zone 2,20860.971221999996,15.144914447791862,14.281540453252793,22.563375196732476,21.330595703572452
Boarding potato plot,Forward boundary: front-to-aft - Aisle seats: zone 3,21400.971221999996,15.087260344666896,12.609772458303558,24.23514319168171,23.002363698521687
Boarding potato plot,Forward boundary: front-to-aft - Aisle seats: zone 4,21940.971221999996,15.11070868743506,13.289692652178564,23.555222997806705,22.32244350464668
Boarding potato plot,Forward boundary: front-to-aft - Aisle seats: zone 5,22480.971221999996,15.209415157314504,16.151836164864985,20.693079485120286,19.460299991960262
Boarding potato plot,Forward boundary: front-to-aft - Aisle seats: zone 6,22930.971221999996,15.350524016066382,20.24350113021677,16.6014145197685,15.368635026608475
Boarding potato plot,Forward boundary: front-to-aft - Load baggage/cargo,23980.971221999996,15.478177302281992,23.94500140128664,12.89991424869863,11.667134755538607
Boarding potato plot,Forward boundary: front-to-aft - Fuel uplift / dispatch,33614.100000000006,15.636288849209668,28.529685048392807,8.315230601592459,7.082451108432435
Boarding potato plot,Aft boundary: aft-to-front - Start: OEW + crew,16630.971221999996,15.777696981877325,32.63002791396338,4.214887736021883,2.982108242861858
Boarding potato plot,Aft boundary: aft-to-front - Window seats: zone 6,17080.971221999996,15.952162257851615,37.68891269050074,-0.8439970405154714,-2.076776533675496
Boarding potato plot,Aft boundary: aft-to-front - Window seats: zone 5,17620.971221999996,16.052306135196865,40.59273600855726,-3.7478203585719845,-4.980599851732009
Boarding potato plot,Aft boundary: aft-to-front - Window seats: zone 4,18160.971221999996,16.05194022343339,40.58212584307041,-3.737210193085144,-4.969989686245168
Boarding potato plot,Aft boundary: aft-to-front - Window seats: zone 3,18700.971221999996,15.95977133550813,37.90954941551704,-1.0646337655317686,-2.297413258691793
Boarding potato plot,Aft boundary: aft-to-front - Window seats: zone 2,19240.971221999996,15.783528853668281,32.79913186463341,4.0457837853518654,2.8130042921918412
Boarding potato plot,Aft boundary: aft-to-front - Window seats: zone 1,19780.971221999993,15.530098143683455,25.450524793744282,11.394390856240989,10.161611363080963
Boarding potato plot,Aft boundary: aft-to-front - Aisle seats: zone 6,20230.971221999993,15.682906222021325,29.88142634087676,6.963489309108511,5.730709815948487
Boarding potato plot,Aft boundary: aft-to-front - Aisle seats: zone 5,20770.971221999996,15.774862954313424,32.547850994692524,4.297064655292745,3.0642851621327205
Boarding potato plot,Aft boundary: aft-to-front - Aisle seats: zone 4,21310.971221999996,15.781581278090377,32.74265896257769,4.102256687407576,2.8694771942475517
Boarding potato plot,Aft boundary: aft-to-front - Aisle seats: zone 3,21850.971221999996,15.709380648006697,30.649092398417622,6.1958232515676475,4.963043758407623
