Component,x_m,y_m,z_m
Full takeoff CG,15.849104662576702,0.0,0.0
Empty/component CG,16.18192309380626,0.0,0.0
Neutral point DATCOM,16.147833999136676,0.0,0.0
Neutral point VLM,16.0741822409605,0.0,0.0
Wing CG,16.429896008847976,0.0,0.0
H-tail CG,29.410104204814196,0.0,0.0
V-tail CG,29.654009898651932,0.0,0.0
Fuselage CG,16.49,0.0,0.0
All-else CG,16.49,0.0,0.0
Left engine,13.277177042557458,-4.937000000000001,-0.8181389340719054
Right engine,13.277177042557458,4.937000000000001,-0.8181389340719054
Nose LG,4.5,0.0,-1.605
Main LG,16.9,0.0,-1.605
Crew,2.7005000000000003,0.0,0.7222500000000001
Fuel,16.429896008847976,0.0,-0.24075
Passengers,14.449999999999998,0.0,0.40125
Baggage,18.266,0.0,-0.56175
