Phase,Beta,Fuel_mass_kg,Weight_kg,x_cg_m,CG_percent_MAC,SM_DATCOM_percent,SM_VLM_percent,Mission_progress
Outbound - Start of leg,1.0,9633.128778000002,33614.100000000006,15.865716629581874,23.583685333799753,8.180420190020328,6.044775970149469,0.0
Outbound - After Warm-up,0.99,9296.987777999999,33277.959,15.860017847973126,23.418440534430303,8.345664989389777,6.210020769518917,0.058823529411764705
Outbound - After Taxi,0.9801,8964.208188,32945.17941,15.85426150291379,23.251526595673457,8.512578928146624,6.376934708275765,0.11764705882352941
Outbound - After Takeoff,0.9751995,8799.482290950004,32780.45351295,15.851368867205577,23.16765024453926,8.596455279280821,6.460811059409961,0.17647058823529413
Outbound - After Climb,0.95569551,8143.873220691003,32124.844442691003,15.839562190845525,22.825297790930243,8.938807732889838,6.803163513018978,0.23529411764705882
Outbound - After Cruise,0.8904030708488126,5949.126641819075,29930.097863819075,15.796273554324912,21.570078246134074,10.194027277686006,8.058383057815146,0.29411764705882354
Outbound - After Loiter,0.8697769059282118,5255.796671561504,29236.7678935615,15.781247630831992,21.134378848719575,10.629726675100503,8.494082455229645,0.35294117647058826
Outbound - After Descent,0.8610791368689297,4963.42899262589,28944.40021462589,15.77469562701365,20.944393579803883,10.819711944016197,8.684067724145336,0.4117647058823529
Outbound - After Landing,0.8541905037739782,4731.873790908881,28712.845012908878,15.7694117529666,20.791179653258972,10.972925870561111,8.837281650690251,0.47058823529411764
Return - Start of leg,0.8541905037739782,4731.873790908881,28712.845012908878,15.7694117529666,20.791179653258972,10.972925870561111,8.837281650690251,0.5294117647058824
Return - After Warm-up,0.8456485987362384,4444.745340779795,28425.71656277979,15.762740194826382,20.5977277258032,11.166377798016885,9.030733578146025,0.5882352941176471
Return - After Taxi,0.8371921127488761,4160.488175151997,28141.459397151997,15.756001247209998,20.402321738474058,11.361783785346027,9.226139565475167,0.6470588235294118
Return - After Takeoff,0.8330061521851316,4019.780878166235,28000.752100166235,15.752614841372623,20.304127774992182,11.4599777488279,9.324333528957041,0.7058823529411765
Return - After Climb,0.816346029141429,3459.765836162911,27440.73705816291,15.738792776730268,19.90333608731086,11.860769436509225,9.725125216638366,0.7647058823529411
Return - After Cruise,0.7605738476502445,1585.0341503000855,25566.005372300086,15.688114811651808,18.433851775263033,13.33025374855705,11.19460952868619,0.8235294117647058
Return - After Loiter,0.7429551734457912,992.7982737241728,24973.769495724173,15.67052397749182,17.923778910381497,13.840326613438586,11.704682393567726,0.8823529411764706
Return - After Descent,0.7355256217113333,743.0605787669301,24724.031800766927,15.662853552932672,17.701363339058467,14.062742184761614,11.927097964890754,0.9411764705882353
Return - After Landing,0.7296414167376426,545.2683243607935,24526.23954636079,15.65666772667529,17.52199594283006,14.242109580990023,12.106465361119163,1.0
