Method,Step_No,Step,Weight_kg,x_cg_m,CG_percent_MAC,SM_DATCOM_percent,SM_VLM_percent
Pre-boarding loading line,0,Empty weight,16270.971221999996,16.21624165491057,33.747689056191014,-1.9835835323709379,-4.119227752241798
Pre-boarding loading line,1,Add crew,16630.971221999996,15.923675037434174,25.264277104964314,6.499828418855768,4.3641841989849075
Pre-boarding loading line,2,Add fuel,26264.1,16.1093464218621,30.648099959544627,1.116005564275452,-1.0196386555954078
Pre-boarding loading line,3,Add baggage,27314.100000000002,16.192251817135773,33.052067394901826,-1.2879618710817402,-3.4236060909526
Front-biased zone boarding,0,A: OEW + crew + fuel + baggage,27314.100000000002,16.192251817135773,33.052067394901826,-1.2879618710817402,-3.4236060909526
Front-biased zone boarding,1,Board zone 1,27854.100000000002,15.994075750371696,27.30565234681753,4.45845317700255,2.3228089571316906
Front-biased zone boarding,2,Board zone 2,29294.100000000002,15.657643872261932,17.5503007617711,14.213804762048978,12.07816054217812
Front-biased zone boarding,3,Board zone 3,30734.100000000002,15.551396831481261,14.469506981141157,17.294598542678923,15.158954322808064
Front-biased zone boarding,4,Board zone 4,32174.100000000002,15.64442782730296,17.167081532181676,14.597023991638407,12.461379771767547
Front-biased zone boarding,5,Board zone 5,33614.100000000006,15.91112614523156,24.900402979458843,6.86370254436124,4.728058324490379
Aft-biased zone boarding,0,A: OEW + crew + fuel + baggage,27314.100000000002,16.192251817135773,33.052067394901826,-1.2879618710817402,-3.4236060909526
Aft-biased zone boarding,1,Board zone 1,27854.100000000002,15.994075750371696,27.30565234681753,4.45845317700255,2.3228089571316906
Aft-biased zone boarding,2,Board zone 5,29294.100000000002,16.282916538088838,35.68102822413902,-3.9169227003189357,-6.052566920189795
Aft-biased zone boarding,3,Board zone 4,30734.100000000002,16.346032106306293,37.51115966682703,-5.74705414300694,-7.8826983628778
Aft-biased zone boarding,4,Board zone 3,32174.100000000002,16.213730465138987,33.67487330740945,-1.9107677835893688,-4.046412003460229
Aft-biased zone boarding,5,Board zone 2,33614.100000000006,15.91112614523156,24.900402979458843,6.86370254436124,4.728058324490379
Recommended balanced zone boarding,0,A: OEW + crew + fuel + baggage,27314.100000000002,16.192251817135773,33.052067394901826,-1.2879618710817402,-3.4236060909526
Recommended balanced zone boarding,1,Board zone 1,27854.100000000002,15.994075750371696,27.30565234681753,4.45845317700255,2.3228089571316906
Recommended balanced zone boarding,2,Board zone 3,29294.100000000002,15.866068094204234,23.59387658256041,8.170228941259674,6.034584721388814
Recommended balanced zone boarding,3,Board zone 4,30734.100000000002,15.948714468893776,25.99033332398406,5.773772199836017,3.638127979965158
Recommended balanced zone boarding,4,Board zone 2,32174.100000000002,15.64442782730296,17.167081532181676,14.597023991638407,12.461379771767547
Recommended balanced zone boarding,5,Board zone 5,33614.100000000006,15.91112614523156,24.900402979458843,6.86370254436124,4.728058324490379
