Group,Component,Weight_kg,Loc_m,Moment_kg_m,Weight_lb,Loc_ft,Moment_ft_lb,Notes
Structures,wing,2495.8754610890187,16.429896008847976,41006.97427672807,5502.46350283715,53.90385829652971,296604.0129387603,Raymer quick-and-dirty / geometry-based CG
Structures,htail,279.6451158777,29.410104204814196,8224.391998330499,616.511948553842,96.48984319126167,59487.1412414994,Raymer quick-and-dirty / geometry-based CG
Structures,vtail,169.4818884107273,29.654009898651932,5025.817596573929,373.64360518414674,97.29005872222217,36351.80828954843,Raymer quick-and-dirty / geometry-based CG
Structures,fuse,4473.17698931965,16.49,73762.68855388102,9861.667182192976,54.10104986855,533526.5480108651,Raymer quick-and-dirty / geometry-based CG
Structures,noseLG,131.43406875917245,4.5,591.453309416276,289.76252126825995,14.7637795275,4277.98997933712,Raymer quick-and-dirty / geometry-based CG
Structures,mainLG,744.7930563019772,17.8,13257.316402175195,1641.9876205201397,58.39895013100001,95890.35316647499,Raymer quick-and-dirty / geometry-based CG
Propulsion,installed engines,3065.4,13.277177042557458,40699.85850625563,6758.05018501899,43.56029213420062,294382.64031701576,1.3 × dry engine weight × 2
Equipment,all-else empty,3464.153750241755,16.49,57123.89534148653,7637.151723349488,54.10104986855,413177.9262386132,Raymer quick-and-dirty allowance
Useful load,crew,360.0,2.7005000000000003,972.1800000000002,793.664143866,8.859908136447501,7031.791405845013,4 crew assumed
Useful load,fuel usable,9752.739669999995,16.429896008847976,160236.49857946625,21501.110501495892,53.90385829652971,1.1589928136906615e6,fuel mass from TOGW minus zero-fuel weight
Useful load,passengers,6300.0,14.692285714285713,92561.4,13889.122517655,48.20303712016714,669497.8882850732,70 pax × 90 kg
Useful load,baggage,1050.0,18.266,19179.3,2314.8537529425,59.92782152207,138724.14255603205,70 pax × 15 kg
