Sequence,Step_No,Step,Weight_kg,x_cg_m,CG_percent_MAC,SM_DATCOM_percent,SM_VLM_percent
Crew-Fuel-Payload,0,Empty weight,14823.96033,16.25400868603988,31.943336914809645,-3.2615792289389103,-3.6218429629701347
Crew-Fuel-Payload,1,Add Crew,15183.96033,15.932665438235547,23.033676373704807,5.648081312165924,5.287817578134699
Crew-Fuel-Payload,2,Add Fuel,24936.7,16.171858984104986,29.665629314622162,-0.9838716287514304,-1.3441353627826549
Crew-Fuel-Payload,3,Add Payload,32286.7,15.858182964779022,20.968552680290326,7.713205005580405,7.35294127154918
Crew-Payload-Fuel,0,Empty weight,14823.96033,16.25400868603988,31.943336914809645,-3.2615792289389103,-3.6218429629701347
Crew-Payload-Fuel,1,Add Crew,15183.96033,15.932665438235547,23.033676373704807,5.648081312165924,5.287817578134699
Crew-Payload-Fuel,2,Add Payload,22533.960330000005,15.561248658918295,12.73566188110798,15.946095804762752,15.585832070731527
Crew-Payload-Fuel,3,Add Fuel,32286.7,15.858182964779022,20.968552680290326,7.713205005580405,7.35294127154918
Fuel-Crew-Payload,0,Empty weight,14823.96033,16.25400868603988,31.943336914809645,-3.2615792289389103,-3.6218429629701347
Fuel-Crew-Payload,1,Add Fuel,24576.7,16.369187723694832,35.13682591440299,-6.455068228532262,-6.815331962563487
Fuel-Crew-Payload,2,Add Crew,24936.7,16.171858984104986,29.665629314622162,-0.9838716287514304,-1.3441353627826549
Fuel-Crew-Payload,3,Add Payload,32286.7,15.858182964779022,20.968552680290326,7.713205005580405,7.35294127154918
Fuel-Payload-Crew,0,Empty weight,14823.96033,16.25400868603988,31.943336914809645,-3.2615792289389103,-3.6218429629701347
Fuel-Payload-Crew,1,Add Fuel,24576.7,16.369187723694832,35.13682591440299,-6.455068228532262,-6.815331962563487
Fuel-Payload-Crew,2,Add Payload,31926.7,16.006546743914367,25.082131906626703,3.599625779244027,3.2393620452128027
Fuel-Payload-Crew,3,Add Crew,32286.7,15.858182964779022,20.968552680290326,7.713205005580405,7.35294127154918
Payload-Crew-Fuel,0,Empty weight,14823.96033,16.25400868603988,31.943336914809645,-3.2615792289389103,-3.6218429629701347
Payload-Crew-Fuel,1,Add Payload,22173.960330000005,15.770046250701963,18.524847362065735,10.156910323804995,9.79664658977377
Payload-Crew-Fuel,2,Add Crew,22533.960330000005,15.561248658918295,12.73566188110798,15.946095804762752,15.585832070731527
Payload-Crew-Fuel,3,Add Fuel,32286.7,15.858182964779022,20.968552680290326,7.713205005580405,7.35294127154918
Payload-Fuel-Crew,0,Empty weight,14823.96033,16.25400868603988,31.943336914809645,-3.2615792289389103,-3.6218429629701347
Payload-Fuel-Crew,1,Add Payload,22173.960330000005,15.770046250701963,18.524847362065735,10.156910323804995,9.79664658977377
Payload-Fuel-Crew,2,Add Fuel,31926.7,16.006546743914367,25.082131906626703,3.599625779244027,3.2393620452128027
Payload-Fuel-Crew,3,Add Crew,32286.7,15.858182964779022,20.968552680290326,7.713205005580405,7.35294127154918
